Categoria: Todas as categorias

Mês,ESG: (Brasil)
2011-01,16
2011-02,16
2011-03,17
2011-04,27
2011-05,14
2011-06,12
2011-07,26
2011-08,22
2011-09,24
2011-10,19
2011-11,28
2011-12,16
2012-01,15
2012-02,4
2012-03,17
2012-04,13
2012-05,7
2012-06,14
2012-07,20
2012-08,12
2012-09,19
2012-10,11
2012-11,18
2012-12,5
2013-01,12
2013-02,13
2013-03,14
2013-04,8
2013-05,15
2013-06,4
2013-07,18
2013-08,11
2013-09,19
2013-10,11
2013-11,7
2013-12,14
2014-01,5
2014-02,24
2014-03,15
2014-04,9
2014-05,6
2014-06,15
2014-07,20
2014-08,11
2014-09,10
2014-10,25
2014-11,13
2014-12,7
2015-01,16
2015-02,23
2015-03,8
2015-04,10
2015-05,13
2015-06,19
2015-07,14
2015-08,5
2015-09,8
2015-10,5
2015-11,15
2015-12,13
2016-01,13
2016-02,10
2016-03,13
2016-04,12
2016-05,9
2016-06,15
2016-07,9
2016-08,11
2016-09,16
2016-10,17
2016-11,14
2016-12,19
2017-01,10
2017-02,5
2017-03,14
2017-04,12
2017-05,11
2017-06,13
2017-07,9
2017-08,21
2017-09,34
2017-10,9
2017-11,16
2017-12,13
2018-01,15
2018-02,15
2018-03,17
2018-04,14
2018-05,18
2018-06,11
2018-07,8
2018-08,18
2018-09,20
2018-10,19
2018-11,21
2018-12,14
2019-01,18
2019-02,19
2019-03,17
2019-04,8
2019-05,18
2019-06,23
2019-07,16
2019-08,20
2019-09,23
2019-10,29
2019-11,18
2019-12,23
2020-01,26
2020-02,16
2020-03,18
2020-04,22
2020-05,21
2020-06,32
2020-07,89
2020-08,81
2020-09,100
2020-10,60
2020-11,60
2020-12,55
