Categoria: Todas as categorias

Mês,ESG: (Todo o mundo)
2011-01,31
2011-02,30
2011-03,33
2011-04,28
2011-05,34
2011-06,31
2011-07,28
2011-08,29
2011-09,34
2011-10,32
2011-11,30
2011-12,27
2012-01,36
2012-02,32
2012-03,32
2012-04,30
2012-05,31
2012-06,33
2012-07,32
2012-08,26
2012-09,32
2012-10,32
2012-11,26
2012-12,25
2013-01,33
2013-02,30
2013-03,29
2013-04,30
2013-05,26
2013-06,26
2013-07,27
2013-08,23
2013-09,31
2013-10,30
2013-11,29
2013-12,23
2014-01,28
2014-02,28
2014-03,27
2014-04,27
2014-05,25
2014-06,28
2014-07,29
2014-08,25
2014-09,28
2014-10,27
2014-11,28
2014-12,26
2015-01,29
2015-02,29
2015-03,30
2015-04,29
2015-05,26
2015-06,27
2015-07,26
2015-08,24
2015-09,28
2015-10,28
2015-11,25
2015-12,25
2016-01,27
2016-02,31
2016-03,28
2016-04,28
2016-05,27
2016-06,30
2016-07,25
2016-08,25
2016-09,29
2016-10,31
2016-11,29
2016-12,26
2017-01,30
2017-02,31
2017-03,31
2017-04,29
2017-05,30
2017-06,29
2017-07,30
2017-08,32
2017-09,41
2017-10,35
2017-11,35
2017-12,30
2018-01,34
2018-02,34
2018-03,35
2018-04,36
2018-05,35
2018-06,36
2018-07,36
2018-08,36
2018-09,41
2018-10,43
2018-11,42
2018-12,33
2019-01,40
2019-02,44
2019-03,44
2019-04,44
2019-05,47
2019-06,50
2019-07,47
2019-08,46
2019-09,57
2019-10,59
2019-11,62
2019-12,55
2020-01,74
2020-02,83
2020-03,65
2020-04,60
2020-05,68
2020-06,77
2020-07,85
2020-08,80
2020-09,95
2020-10,96
2020-11,100
2020-12,89
